,metric,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,importance
990,euclidean,sentence_to_doc,chunk_NEs,get_synsets,remove_non_alnum,get_characters,get_4grams,,,0.00020644052987000698
1495,manhattan,sentence_to_doc,get_tokens,get_stopwords,get_synsets,remove_non_alnum,get_characters,get_2grams,,0.0002060726091343713
144,jaccard,sentence_to_doc,get_tokens,lemmatize_tokens,remove_non_alnum,,,,,0.00020567198578087608
571,manhattan,sentence_to_doc,chunk_NEs,get_stopwords,get_synsets,get_3grams,,,,0.00020559668221107702
15,manhattan,sentence_to_doc,get_tokens,get_pos_tags,get_4grams,,,,,0.00020523540660926282
1624,jaccard,sentence_to_doc,chunk_NEs,remove_stopwords,get_token_text,remove_non_alnum,get_characters,get_3grams,,0.0002038291323785278
1314,euclidean,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,remove_non_alnum,get_characters,,,0.0002037902142401667
267,manhattan,sentence_to_doc,get_tokens,remove_stopwords,get_token_text,get_3grams,,,,0.00020316335745122446
1499,manhattan,sentence_to_doc,get_tokens,get_stopwords,get_synsets,remove_non_alnum,get_characters,get_3grams,,0.00020310288971725582
1053,cosine,sentence_to_doc,chunk_NEs,remove_stopwords,get_token_text,remove_non_alnum,get_4grams,,,0.0002027126226646742
327,manhattan,sentence_to_doc,get_tokens,get_stopwords,get_token_text,get_2grams,,,,0.00020081147422307304
323,manhattan,sentence_to_doc,get_tokens,get_stopwords,get_token_text,,,,,0.00019953072080701193
255,manhattan,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,get_4grams,,,,0.00019870280281050393
875,manhattan,sentence_to_doc,get_tokens,get_stopwords,get_synsets,remove_non_alnum,get_3grams,,,0.000196343408204922
38,euclidean,sentence_to_doc,get_tokens,get_token_text,get_2grams,,,,,0.00019604404913201335
438,euclidean,sentence_to_doc,chunk_NEs,get_synsets,remove_non_alnum,get_2grams,,,,0.00019559970173806622
100,jaccard,sentence_to_doc,chunk_NEs,get_token_text,get_2grams,,,,,0.00019531491712108945
186,euclidean,sentence_to_doc,get_tokens,get_token_text,remove_non_alnum,get_3grams,,,,0.00019519300331388533
